Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
status report,3/10/2017,12:00:00 PM,3/10/2017,12:15:00 PM,FALSE,TRUE,3/10/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,3/17/2017,12:00:00 PM,3/17/2017,12:15:00 PM,FALSE,TRUE,3/17/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,3/24/2017,12:00:00 PM,3/24/2017,12:15:00 PM,FALSE,TRUE,3/24/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,3/31/2017,12:00:00 PM,3/31/2017,12:15:00 PM,FALSE,TRUE,3/31/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,4/7/2017,12:00:00 PM,4/7/2017,12:15:00 PM,FALSE,TRUE,4/7/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,4/14/2017,12:00:00 PM,4/14/2017,12:15:00 PM,FALSE,TRUE,4/14/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,4/28/2017,12:00:00 PM,4/28/2017,12:15:00 PM,FALSE,TRUE,4/28/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,5/5/2017,12:00:00 PM,5/5/2017,12:15:00 PM,FALSE,TRUE,5/5/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,5/12/2017,12:00:00 PM,5/12/2017,12:15:00 PM,FALSE,TRUE,5/12/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,5/19/2017,12:00:00 PM,5/19/2017,12:15:00 PM,FALSE,TRUE,5/19/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,5/26/2017,12:00:00 PM,5/26/2017,12:15:00 PM,FALSE,TRUE,5/26/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,6/2/2017,12:00:00 PM,6/2/2017,12:15:00 PM,FALSE,TRUE,6/2/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,6/9/2017,12:00:00 PM,6/9/2017,12:15:00 PM,FALSE,TRUE,6/9/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,6/16/2017,12:00:00 PM,6/16/2017,12:15:00 PM,FALSE,TRUE,6/16/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,6/23/2017,12:00:00 PM,6/23/2017,12:15:00 PM,FALSE,TRUE,6/23/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
status report,6/30/2017,12:00:00 PM,6/30/2017,12:15:00 PM,FALSE,TRUE,6/30/2017,11:45:00 AM,Ann Crawford,,,,,,"
",desk,,Normal,FALSE,Normal,2
Dev Collab [placeholder],3/9/2017,3:00:00 PM,3/9/2017,4:00:00 PM,FALSE,TRUE,3/9/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],3/23/2017,3:00:00 PM,3/23/2017,4:00:00 PM,FALSE,TRUE,3/23/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],4/6/2017,3:00:00 PM,4/6/2017,4:00:00 PM,FALSE,TRUE,4/6/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],4/20/2017,3:00:00 PM,4/20/2017,4:00:00 PM,FALSE,TRUE,4/20/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],5/4/2017,3:00:00 PM,5/4/2017,4:00:00 PM,FALSE,TRUE,5/4/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],5/18/2017,3:00:00 PM,5/18/2017,4:00:00 PM,FALSE,TRUE,5/18/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],6/1/2017,3:00:00 PM,6/1/2017,4:00:00 PM,FALSE,TRUE,6/1/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],6/15/2017,3:00:00 PM,6/15/2017,4:00:00 PM,FALSE,TRUE,6/15/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Dev Collab [placeholder],6/29/2017,3:00:00 PM,6/29/2017,4:00:00 PM,FALSE,TRUE,6/29/2017,2:45:00 PM,Seth Northrop,SIST-DevCollab;Liudmil Petrov;Shen Liu;Ventzislav Tzvetkov;Logan D Franken;Joe Sabado;Aurelian Marian;Louis Tourtellotte;Stephen Barnhouse;Jeff Pignataro;Steve Bishop;Jarrod Sprague;Richard Wilson;Nikhil Singh;Michael Kerner;James Kinneavy;Joshua Andersen;Justin Mead;Adam Sottosanti;Steven Maglio;Stefan Chankov;Amarpreet Singh;Eric Mayes;Ann Crawford;Samantha Sanchez;Adriana Roman;Curran Sullivan;Allen Biehle;Sean McGowan;Diana Antova;Kam Kunimoto;Farah Tahmasbi;Thomas Hoinacki;Carly Larsson,,,,,"This is a placeholder for upcoming Dev Collab meetings.  Please mark this as Tentative, since it is not the actual meeting.  Future meetings will be scheduled to overlap this meeting by the presenter or discussion leader.

 

For additional detail, check out the group charter <https://ucsb.box.com/s/gfu2i5m3dkgqcgpu3ngflo64rfoworut> .

",,,Normal,FALSE,Normal,1
Observed Holiday ,3/31/2017,12:00:00 AM,4/1/2017,12:00:00 AM,TRUE,FALSE,3/30/2017,11:45:00 PM,Leilani Borrego,SIST-ALL,,,,,"
",,,Normal,FALSE,Normal,4
Observed Holiday ,5/29/2017,12:00:00 AM,5/30/2017,12:00:00 AM,TRUE,TRUE,5/28/2017,11:45:00 PM,Leilani Borrego,SIST-ALL,,,,,"
",,,Normal,FALSE,Normal,4
DS Teams meeting,3/9/2017,10:00:00 AM,3/9/2017,11:00:00 AM,FALSE,TRUE,3/9/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,3/16/2017,10:00:00 AM,3/16/2017,11:00:00 AM,FALSE,TRUE,3/16/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,3/24/2017,9:00:00 AM,3/24/2017,10:00:00 AM,FALSE,FALSE,3/23/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Moving as I have a scheduling conflict.
Thanks,
Diana

Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,3/30/2017,10:00:00 AM,3/30/2017,11:00:00 AM,FALSE,TRUE,3/30/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,4/7/2017,11:00:00 AM,4/7/2017,12:00:00 PM,FALSE,FALSE,4/6/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Moving to Friday as this Thursday is a busy meeting day.
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,4/13/2017,10:00:00 AM,4/13/2017,11:00:00 AM,FALSE,TRUE,4/13/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,4/27/2017,3:00:00 PM,4/27/2017,4:00:00 PM,FALSE,FALSE,4/27/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"I have a scheduling conflict on Friday.

Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,5/4/2017,3:00:00 PM,5/4/2017,4:00:00 PM,FALSE,FALSE,5/4/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,5/11/2017,10:00:00 AM,5/11/2017,11:00:00 AM,FALSE,TRUE,5/11/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,5/18/2017,10:00:00 AM,5/18/2017,11:00:00 AM,FALSE,TRUE,5/18/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,5/25/2017,10:00:00 AM,5/25/2017,11:00:00 AM,FALSE,TRUE,5/25/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
DS Teams meeting,6/1/2017,10:00:00 AM,6/1/2017,11:00:00 AM,FALSE,TRUE,6/1/2017,9:45:00 AM,Diana Antova,Ann Crawford;Kam Kunimoto;Adam Sottosanti;Mike Nesbit,,,,,"Updating zoom info
Hi there, 

Diana Antova is inviting you to a scheduled Zoom meeting. 

Join from PC, Mac, Linux, iOS or Android: https://ucsb.zoom.us/j/723200388

Or iPhone one-tap (US Toll):  +14086380968,723200388# or +16465588656,723200388#

Or Telephone:
    Dial: +1 408 638 0968 (US Toll) or +1 646 558 8656 (US Toll)
    Meeting ID: 723 200 388
    International numbers available: https://ucsb.zoom.us/zoomconference?m=97IgneEy-aU1Yi3vJIFwnS3m8C4HGNk4

Or an H.323/SIP room system:
    H.323: 
        162.255.37.11 (US West)
        162.255.36.11 (US East)
        221.122.88.195 (China)
        115.114.131.7 (India)
        213.19.144.110 (EMEA)
    Meeting ID: 723 200 388

    SIP: 723200388@zoomcrc.com <mailto:723200388@zoomcrc.com> 


",https://ucsb.zoom.us/j/723200388 SIST.Conference Room.SAASB.2201A,,Normal,FALSE,Normal,2
